timestamp,gryox,gryoy,gryoz,accelx,accely,accelz,x,y,z,w,roll,pitch,yaw
,-0.490417,-0.207458,0.228333,-0.815125,1.01996,0.597002,-0.205489,-0.553223,0.686035,0.413574
97640232471,-0.4375,1.375,0.4375,-0.490662,-0.207642,0.22821,-0.814941,1.02073,0.597261,-0.204832,-0.552734,0.695312,0.411621
97640233254,0.5625,1.25,0,-0.490845,-0.207947,0.228027,-0.814819,1.02144,0.597685,-0.203989,-0.553711,0.696289,0.410645
97640246811,-0.0625,1.75,-0.125,-0.490845,-0.208252,0.227966,-0.814758,1.02159,0.598183,-0.203532,-0.558594,0.689453,0.419434
97640277945,-0.4375,1.25,-0.375,-0.491028,-0.208435,0.227966,-0.814575,1.02214,0.598553,-0.203166,-0.555176,0.687988,0.418457
97640307459,0.875,1.125,0,-0.491272,-0.208557,0.227905,-0.814453,1.0229,0.598794,-0.202731,-0.5625,0.693359,0.424316
97640308261,1.25,0.8125,0.1875,-0.491516,-0.208496,0.227783,-0.814331,1.02356,0.598602,-0.20234,-0.550293,0.700195,0.416992
97640336818,1.0625,0.5625,0.375,-0.491516,-0.208496,0.227783,-0.814331,1.02356,0.598602,-0.20234,-0.558594,0.702637,0.419434
97640367672,0.3125,0.75,0.3125,-0.491516,-0.208557,0.227783,-0.814331,1.0236,0.598722,-0.202281,-0.56543,0.681641,0.41748
97640368278,0.5,0.9375,0.25,-0.491516,-0.208618,0.227966,-0.814209,1.02351,0.598999,-0.202551,-0.552734,0.693359,0.429688
97640412693,0.6875,0.25,-1.1875,-0.491577,-0.208801,0.228088,-0.814087,1.02369,0.599477,-0.202541,-0.556641,0.703613,0.417969
97640413456,-0.0625,0.5,-1.6875,-0.491455,-0.209106,0.228027,-0.814148,1.02355,0.59997,-0.202209,-0.554688,0.6875,0.415039
97640467124,-1.3125,1.125,-0.5,-0.491455,-0.209351,0.227905,-0.814087,1.02369,0.600275,-0.201678,-0.55957,0.686523,0.417969
97640467751,-0.5,1,0.3125,-0.491699,-0.209473,0.227661,-0.813965,1.02449,0.600298,-0.200847,-0.549805,0.699707,0.414551
97640477401,0.5625,1.625,0.375,-0.491882,-0.209717,0.227478,-0.813904,1.02521,0.600631,-0.200093,-0.554688,0.696289,0.414062
97640489745,0,1.8125,0.125,-0.491821,-0.210083,0.227417,-0.813843,1.02521,0.601217,-0.199605,-0.563965,0.688477,0.422852
97640512216,-0.5625,1.625,-0.3125,-0.491821,-0.210083,0.227417,-0.813843,1.02521,0.601217,-0.199605,-0.569336,0.685547,0.418945
97640541522,-0.4375,0.6875,-0.5625,-0.491821,-0.210083,0.227417,-0.813843,1.02521,0.601217,-0.199605,-0.558105,0.690918,0.41748
97640555733,0.8125,0.1875,-0.1875,-0.491821,-0.210083,0.227417,-0.813843,1.02521,0.601217,-0.199605,-0.554199,0.697266,0.414062
97640607484,-0.125,0.3125,-0.625,-0.491821,-0.210144,0.227417,-0.813843,1.02525,0.601337,-0.199546,-0.55957,0.6875,0.416504
97640608236,-0.4375,0.5625,-0.4375,-0.491821,-0.210144,0.227478,-0.813843,1.02523,0.60141,-0.199677,-0.567871,0.683594,0.422363
97640616897,-0.25,0.3125,-0.4375,-0.491821,-0.210144,0.227478,-0.813782,1.02519,0.601379,-0.199644,-0.561523,0.697754,0.416504
97640646899,0.875,-0.125,-0.875,-0.491821,-0.210144,0.227478,-0.813782,1.02519,0.601379,-0.199644,-0.560547,0.69873,0.407715
97640651669,-0.375,0.5625,-0.3125,-0.491821,-0.210388,0.227356,-0.813782,1.02537,0.601715,-0.199145,-0.563965,0.687012,0.419922
97640682488,-0.5625,1.0625,0.3125,-0.491821,-0.210449,0.227356,-0.813782,1.0254,0.601836,-0.199086,-0.564453,0.697266,0.416992
97640698207,0.5,0.8125,-0.4375,-0.491821,-0.210449,0.227356,-0.813782,1.0254,0.601836,-0.199086,-0.560547,0.69873,0.411621
97640711779,0.6875,0.5625,-0.8125,-0.491882,-0.210632,0.227539,-0.81366,1.02558,0.602387,-0.199207,-0.561035,0.695801,0.41748
97640753369,0.125,0.5,-1.5625,-0.491943,-0.210876,0.227722,-0.813477,1.02574,0.603028,-0.199235,-0.560059,0.694824,0.419922
97640796986,0.75,0.6875,-1.75,-0.492004,-0.211121,0.227905,-0.813293,1.02591,0.603669,-0.199264,-0.562012,0.694336,0.416504
97640799241,0.25,0.5625,-1.8125,-0.492126,-0.211609,0.228394,-0.812988,1.02626,0.605129,-0.199616,-0.554688,0.69043,0.411133
97640833827,0.8125,0.625,-1.875,-0.492371,-0.21167,0.228516,-0.812805,1.0269,0.605437,-0.199598,-0.552246,0.691406,0.403809
97640836069,1.1875,0.1875,-1.1875,-0.492554,-0.211792,0.228638,-0.812622,1.02739,0.605832,-0.199551,-0.553711,0.692383,0.407715
97640849593,0.6875,0.4375,-1.375,-0.492737,-0.211853,0.228699,-0.8125,1.02789,0.606065,-0.199464,-0.557617,0.69043,0.410645
