timestamp,gryox,gryoy,gryoz,accelx,accely,accelz,x,y,z,w,roll,pitch,yaw
,0.324768,-0.343811,-0.861328,-0.185913,0.706348,0.757768,3.00778,-0.688477,0.484375,0.558105
106585173646,-2.3125,1.625,0.0625,0.325012,-0.343506,-0.861389,-0.18573,0.705779,0.758072,3.0081,-0.694336,0.464844,0.561035
106585180439,-1.75,1.125,0.0625,0.324951,-0.343445,-0.861389,-0.18573,0.705547,0.757896,3.00798,-0.679688,0.467773,0.557129
106585202429,-0.375,0.625,0.625,0.324951,-0.343506,-0.861389,-0.18573,0.705732,0.757927,3.00805,-0.680176,0.483398,0.550293
106585248354,-0.1875,0.0625,0.875,0.32489,-0.343201,-0.861572,-0.185364,0.705141,0.757444,3.00852,-0.68457,0.482422,0.558594
106585248949,-2.875,0.25,1,0.324829,-0.343018,-0.861816,-0.184875,0.705047,0.756963,3.00944,-0.679688,0.475098,0.556641
106585256109,-2.0625,0.5,1.8125,0.324768,-0.343018,-0.861938,-0.184509,0.705337,0.756582,3.01025,-0.678711,0.474121,0.55127
106585302362,-1.375,0.4375,1.6875,0.324829,-0.343079,-0.861938,-0.184204,0.705777,0.75647,3.0111,-0.682617,0.476562,0.544922
106585304495,-0.5625,0.6875,1.25,0.324951,-0.343201,-0.861877,-0.183838,0.706446,0.756421,3.0122,-0.687988,0.486816,0.546387
106585353166,-1.125,1,0.875,0.325256,-0.343079,-0.861877,-0.183533,0.706521,0.756795,3.01307,-0.692383,0.475586,0.546387
106585353972,-1.8125,1.3125,0.8125,0.325378,-0.34314,-0.861877,-0.183228,0.707008,0.756827,3.01397,-0.6875,0.471191,0.546875
106585361121,-0.375,1,1.1875,0.325684,-0.343079,-0.861816,-0.183167,0.707059,0.757407,3.01432,-0.680664,0.47168,0.546875
106585421632,-0.875,1.625,-0.5,0.325989,-0.34314,-0.861694,-0.183105,0.707437,0.757995,3.01481,-0.690918,0.479004,0.543945
106585422196,-0.5625,1.1875,-0.8125,0.326233,-0.343079,-0.861633,-0.183044,0.707441,0.758431,3.01511,-0.686523,0.470703,0.54834
106585423040,-0.75,1.3125,-0.3125,0.326416,-0.342957,-0.861633,-0.182861,0.70734,0.758631,3.01557,-0.685547,0.46875,0.556152
106585464976,-0.625,1.5625,0.1875,0.326538,-0.343018,-0.861633,-0.182617,0.707788,0.758721,3.01633,-0.686523,0.476074,0.55127
