timestamp,gryox,gryoy,gryoz,accelx,accely,accelz,x,y,z,w,roll,pitch,yaw
,0.418518,0.28009,-0.23938,0.830078,0.849785,0.72798,-0.220075,-0.639648,0.560547,0.498047
87609555791,4.0625,-1.125,-0.3125,0.418945,0.279419,-0.239441,0.830078,0.85063,0.72683,-0.220427,-0.644043,0.568359,0.501953
87609579564,3.25,-1.625,0.75,0.419373,0.27887,-0.23938,0.830017,0.851576,0.72577,-0.220349,-0.660645,0.573242,0.491211
87609594694,2.3125,-1.75,1.625,0.419739,0.278259,-0.239258,0.830078,0.852407,0.724559,-0.220292,-0.685547,0.568359,0.501953
87609615988,2.375,-2.5625,3.625,0.420166,0.277344,-0.239136,0.8302,0.853262,0.722757,-0.220466,-0.681152,0.561035,0.510742
87609638418,3.625,-3.6875,4.375,0.42041,0.276306,-0.239197,0.830444,0.853461,0.720866,-0.221389,-0.672363,0.575195,0.512695
87609660923,2.875,-4.75,2.9375,0.42041,0.275208,-0.239197,0.830811,0.852976,0.718707,-0.22246,-0.657227,0.583984,0.509766
87609675880,0.4375,-5.0625,2.375,0.420105,0.274353,-0.239197,0.831238,0.851752,0.71694,-0.223596,-0.654297,0.572754,0.508789
87609699601,-1.1875,-4.375,1.8125,0.4198,0.273865,-0.239563,0.831482,0.850471,0.716255,-0.225226,-0.652344,0.558105,0.503906
87609730244,-0.125,-3.8125,-0.6875,0.419495,0.273499,-0.240173,0.831543,0.849024,0.715976,-0.227243,-0.641602,0.570801,0.496094
87609739480,-0.375,-3.0625,-3.25,0.419189,0.273499,-0.240662,0.831543,0.847836,0.716325,-0.228648,-0.63916,0.567383,0.490723
87609760220,-1.1875,-1.4375,-3.5,0.418823,0.273865,-0.240967,0.831543,0.846788,0.717238,-0.229376,-0.645508,0.557129,0.487793
87609774544,-1.875,0.125,-3.125,0.418579,0.27417,-0.241272,0.831482,0.846035,0.71805,-0.230026,-0.65625,0.555664,0.498047
87609804222,-0.8125,0.625,-2.375,0.418457,0.274414,-0.241211,0.831421,0.8458,0.718399,-0.229742,-0.637695,0.559082,0.489746
87609827307,-1.125,1.5,-1.1875,0.418396,0.274719,-0.241028,0.831482,0.845947,0.718875,-0.229147,-0.646973,0.551758,0.490723
87609863430,-1.25,1.625,0.25,0.418274,0.274719,-0.240723,0.831604,0.845802,0.718547,-0.228565,-0.65332,0.54834,0.499512
87609873623,-0.75,0.5625,1.8125,0.418335,0.274597,-0.24054,0.831665,0.846045,0.718157,-0.228204,-0.663086,0.550781,0.496094
87609881144,0.125,-0.3125,2.1875,0.418457,0.274414,-0.24054,0.831665,0.846305,0.717831,-0.228255,-0.657227,0.558105,0.491211
87609896181,0.8125,-1.125,0.9375,0.418457,0.274414,-0.24054,0.831665,0.846305,0.717831,-0.228255,-0.661621,0.560547,0.497559
87609939050,-0.125,-0.625,-0.375,0.418457,0.274414,-0.24054,0.831665,0.846305,0.717831,-0.228255,-0.668457,0.564941,0.501953
87609947899,-0.0625,-0.4375,-0.875,0.418335,0.274597,-0.240845,0.831543,0.845808,0.718407,-0.228873,-0.67627,0.561523,0.500488
87609962264,0.3125,-0.5625,-1.5,0.418396,0.274841,-0.241211,0.83136,0.84585,0.719259,-0.229427,-0.668945,0.571777,0.501465
87609985470,0.5,0.4375,-2.5625,0.418274,0.275146,-0.241577,0.831238,0.845404,0.720174,-0.230104,-0.662109,0.563965,0.499023
87610007856,-0.1875,0.5,-2.75,0.417969,0.275391,-0.241882,0.831177,0.844417,0.720812,-0.230848,-0.659668,0.549805,0.512207
