timestamp,gryox,gryoy,gryoz,accelx,accely,accelz,x,y,z,w,roll,pitch,yaw
,0.38562,0.257507,-0.318726,0.826599,0.693058,0.736264,-0.459076,-0.662598,0.48584,0.539551
87619809149,-1.5625,0.25,3.6875,0.385681,0.257751,-0.318115,0.826782,0.693773,0.736354,-0.457415,-0.672852,0.498535,0.537109
87619823747,-3.75,0.875,1.5,0.385742,0.258545,-0.317505,0.826721,0.694421,0.737499,-0.45539,-0.693359,0.498047,0.525879
87619838710,-4.25,2.4375,0.8125,0.386292,0.259338,-0.31665,0.826538,0.696601,0.738724,-0.452288,-0.688477,0.497559,0.510254
87619869886,-2.625,3.3125,2.1875,0.386963,0.26001,-0.315735,0.826355,0.699167,0.739713,-0.448975,-0.668457,0.498047,0.518066
87619892390,-1.25,4.6875,2,0.387451,0.260986,-0.315125,0.826111,0.701047,0.741504,-0.446465,-0.680664,0.484375,0.524902
87619898733,-1.6875,5.1875,0.6875,0.387878,0.261719,-0.314758,0.825745,0.702455,0.742866,-0.444651,-0.675781,0.499023,0.541504
87619922403,-0.75,4.9375,-0.9375,0.388367,0.262451,-0.31427,0.8255,0.704223,0.744238,-0.442551,-0.665527,0.501953,0.545898
87619943801,-0.6875,5.1875,-0.75,0.388733,0.262878,-0.31366,0.825439,0.705752,0.744821,-0.440436,-0.662109,0.498535,0.561035
87619989469,-0.5625,4.9375,0.6875,0.389099,0.263062,-0.312805,0.8255,0.707446,0.744684,-0.437826,-0.668945,0.503906,0.570801
87619990231,-0.9375,4.375,2.6875,0.389465,0.263123,-0.311951,0.825623,0.709154,0.744315,-0.435309,-0.678711,0.495117,0.569336
87620004531,-0.25,3.1875,3.875,0.389709,0.263123,-0.311279,0.825806,0.710419,0.743941,-0.433445,-0.671387,0.47998,0.568848
87620028859,0.1875,2.4375,3.75,0.389832,0.263245,-0.310791,0.825867,0.711145,0.743845,-0.432027,-0.661621,0.470703,0.565918
87620043054,0.0625,2.8125,2.25,0.389648,0.26355,-0.310242,0.82605,0.711115,0.743925,-0.430668,-0.666992,0.469727,0.580078
